paper,score
Specifying the PLAN Network Programming Langauge.,2.4810554785676
On the Verification of Cryptographic Protocols - A Tale of Two Committees.,2.466370476742879
A Foundation for Space-Safe Transformations of Call-by-Need Programs.,2.4655906163010077
Partial order reductions for failures refinement.,2.4566324224959506
Strong fairness and Recursive Communicating Processes.,2.4451202830110303
A Core Calculus of Classes and Objects.,2.441522364323067
Putting Operational Techniques to the Test: A Syntactic Theory for Behavioral Verilog.,2.436285961100653
Deciding and Axiomatizing ST Bisimulation for a Process Algebra with Recursion and Action Refinement.,2.413167114231265
Employing external reasoners in proof planning.,2.385754582798979
Consistent transformations for software architecture styles of distributed systems.,2.3850973782654368
Languages for Coalgebras on Datafunctors.,2.383811879123759
Secrecy in Programming-Language Semantics.,2.364714173368984
Prototyping of hybrid systems - from HyCharts to Hybrid Data-Flow Graphs.,2.342037265753659
On the way to certify Computer Algebra Systems.,2.3377011333402486
Categorical Structure of Asynchrony.,2.3310139671446053
Relating Natural Deduction and Sequent Calculus for Intuitionistic Non-Commutative Linear Logic.,2.2958090009186107
On the Compact-regular Coreflection of a Stably Locally Compact Locale.,2.2915580552985197
User--system interaction within Theorema.,2.283301920401736
Approximate Symbolic Model Checking using Overlapping Projections.,2.2387305966054254
Deriving a Graph Rewriting System from a Complete Finite Prefix of an Unfolding.,2.2386611641324383
"From Set-theoretic Coinduction to Coalgebraic Coinduction: some results, some problems.",2.235010325683135
Evaluating Semi-Exhaustive Verification Techniques for Bug Hunting.,2.2242479861481392
Coalgebra morphisms subsume open maps.,2.1950736730910987
Variations on Realizability: Simple examples realizing axioms of choice.,2.1913713252914477
Terminal sequences for accessible endofunctors.,2.1682051674174763
Improving Termination of MDG-Based Abstract State Enumeration via Term Schematization.,2.1643401469452193
Modularity and Dyads.,2.1102576513926787
"Powersets, Fixed Points, and Lambda Calculus.",2.061259386238742
Comparing models of higher type computation.,2.0456469089450553
Integrating computational and deduction systems using OpenMath.,2.016912155645867
Metric semantics for synchronous and asynchronous communication: a continuation-based approach.,2.0111864357705205
A coalgebraic introduction to CSP.,1.9813346055862233
Direct Models for the Computational Lambda Calculus.,1.966841566793876
Automatic derivation of the irrationality of e.,1.8036131081794977
Parameterized Theories and Views in Full Maude 2.0.,1.790909143694138
An Overview of Edison.,1.758979819082253
Formal Verification in the Design of Gestural Interaction.,1.7557506297265135
Real-Time Maude: A Tool for Simulating and Analyzing Real-Time and Hybrid Systems.,1.719154005816577
The complexity of scheduling TV commercials.,1.7147322853388582
Measurements on domains and topology.,1.7080538000545615
Handling Relations over Finite Domains in the Rule-Based System ELAN.,1.7002851289558925
Hausdorff compactifications of topological function spaces via the theory of continuous lattices.,1.6994421006613087
Iterated Duals of Certain Topological Spaces.,1.6906373688632081
Coalgebraic structure from weak limit preserving functors.,1.6874050989279405
"CINNI - A Generic Calculus of Explicit Substitutions and its Application to lambda-, varsigma- and pi- Calculi.",1.6755518440382438
Case Studies in the Specification and Analysis of Protocols in Maude.,1.6590352586042503
"Notes on Coalgebras, Cofibrations and Concurrency.",1.6588584701368723
"CTML - A Context Transport Mark-up Language for Formalization and Verification of Legal, Medical and Bureaucratic and Safety procedures and Protocols.",1.6570251358031751
Developing High-Performance Server Applications in Haskell - Case Study: A Haskell Web Server.,1.646107107823309
Efficient Substitution in Hoare Logic Expressions.,1.6392393492726423
Pixel Geometry.,1.6194104139311214
Derivable Type Classes.,1.5949233984539757
Data Field Haskell.,1.588860031712031
Behavioral and Coinductive Rewriting.,1.5675578127152077
"Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.",1.557656838816524
Polytypic Programming in Maude.,1.5565437736863768
Occurrence Counting Analysis for the pi-Calculus.,1.5504391546170726
Categorical Models for Fairness: Completion vs Delay.,1.5502562219492992
Proof-search and proof nets in Mixed Linear Logic.,1.5472100079338191
From Concurrency to Algebraic Topology.,1.5441038588199227
A Non-Topological View of Dcpos as Convergence Spaces (Extended Abstract).,1.5279200424883912
Coalgebras for Binary Methods.,1.525080337621317
Abstract Interpretation Based Verification of Logic Programs.,1.509840307024572
Fixed Points in Metric Semantics.,1.5039292782667968
Haskell Server Pages - Functional Programming and the Battle for the Middle Tier.,1.4949147090831156
First-order Semantics for Higher-order Processes.,1.4900962991344564
Recursion and Computability over Topological Structures.,1.4863660591858978
"Constraints, Adjunctions and (Co)algebras.",1.4837319175229362
Writing Constructive Proofs Yielding Efficient Extracted Programs.,1.4807228573170441
"Operational Properties of Lily, a Polymorphic Linear Lambda Calculus with Recursion.",1.469907805429516
Towards Integrated Cognitive and Interface Analysis.,1.4685831093289174
Process Algebra and Information Flow.,1.453747543013964
An Algebra-Coalgebra Framework for System Specification.,1.453505504458163
A graphical approach to monad compositions.,1.4482432034746548
Real-Time Verification Techniques for Untimed Systems.,1.4470986686878324
Verification of the legOS Scheduler using Uppaal.,1.4422290771551178
A Digital Version of the Kakutani Fixed Point Theorem for Convex-valued Multifunctions.,1.4417353677030338
Weightable quasi-metric semigroups and semilattices.,1.4333153195477957
Modal Logic for Rewriting Theories.,1.4211767124294024
Presentation.,1.402150348339661
Specification of Real-Time Systems in UML.,1.3986580723488808
"Clusters, Concepts, and Pseudometrics.",1.3940132168085182
Coalgebras and Modal Logic.,1.3913438266468063
The evaluation strategy for head normal form with and without on-demand flags.,1.3856341744746603
Assertion based Inductive Verification Methods for Logic Programs.,1.3851040308318323
Axiomatizing a Fragment of PAFAS.,1.384517835146941
Maude versus Haskell: an Experimental Comparison in Security Protocol Analysis.,1.3785830040012113
Formal Methods Elsewhere - A Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering.,1.3781408879165207
Long Normal Form Proof Search and Counter-Model Generation.,1.3777427540304414
Syndetic Modelling: Computer Science Meets Cognitive Psychology.,1.3771740381335926
A Distributed Pi-Calculus with Local Areas of Communication.,1.373269788461857
Grammatical Specification in ASL: Germanic Dependent Clause Order.,1.3619532627528592
LPS: A Language Prototyping System Using Modular Monadic Semantics.,1.3612166889245256
The simply typed rewriting calculus.,1.3582456916346253
"Solve[order/topology == quasi-metric/x, x].",1.3545160128429758
"The Expressive Power of Urgent, Lazy and Busy-Waiting Actions in Timed Processes.",1.3519121383549833
Debugging Haskell by Observing Intermediate Data Structures.,1.3489166927020626
Proof assistance for refinement in type theory.,1.3484309658429472
Exploiting Partial Symmetries for Markov Chain Aggregation.,1.3369642511099002
Towards a Duality Result in Coalgebraic Modal Logic.,1.3359901978918884
"Compositional Asymmetric Cooperations for Process Algebras with Probabilities, Priorities, and Time.",1.3306889417496977
"Lambada, Haskell as a Better Java.",1.3272904436930364
"Puzzles for Learning Model Checking, Model Checking for Programming Puzzles, Puzzles for Testing Model Checkers.",1.3264295985442338
Metric Semantics and Full Abstractness for Action Refinement and Probabilistic Choice.,1.310287502922123
A Coalgebraic Semantics of Subtyping.,1.291865043075284
Applications of Term Rewriting to Cryptographic Protocol Analysis overview of the invited talk.,1.2916840562129008
Observation systems.,1.2885604004855726
"On Corelations, Cokernels, and Coequations.",1.287097458683683
Preface,1.2849795240231026
A Calculus of Terms for Coalgebras of Polynomial Functors.,1.2834592218035337
Rewriting Logic as a Framework for Generic Verification Tools.,1.2800681685001005
Termination and normalisation under strategy Proofs in ELAN.,1.2777586819371054
"Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads.",1.270015320439449
Towards a Double Pushout Transformation of Algebras.,1.2537877027737112
Refinement-Preserving Plug-In Components.,1.2533530805198294
Embedding Untimed into Timed Process Algebra; the Case for Explicit Termination.,1.2494593495946031
Infinitely Running Concurrent Processes with Loops from a Geometric Viewpoint.,1.2492560477996766
A Logic for Coalgebraic Simulation.,1.2450009216234035
Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.,1.238029102018045
Pullback rewriting and applications.,1.2330367985554915
Towards Common Exchange Formats for Graphs and Graph Transformation Systems.,1.232464540059275
Enhancements of a clock-controlled running key generator.,1.2321194443536834
Combinator Parsers - From Toys to Tools.,1.2313231662441568
A Priviledge Management Scheme for Mobile Agent Systems.,1.2306017122561772
Visual Design of Software Architecture and Evolution based on Graph Transformation.,1.17463948655589
Syntactic Type Soundness for the Region Calculus.,1.1745878250518937
Verifying a Network Invariant for All Configurations of the Futurebus+ Cache Coherence Protocol.,1.1734497676150955
Defining Standard Prolog in Rewriting Logic.,1.1685475264443208
Proof-theoretic notions for software maintenance.,1.158990553970335
Spatial pattern discovering by learning the isomorphic subgraph from multiple attributed relation graphs.,1.1587497096153516
On the Relations between Disjunctive and Linear Logic Programming.,1.1580564491755319
A Superposition Operator for the Refinement of Algebraic Models.,1.1570754726972927
A Declarative Debugging System for Lazy Functional Logic Programs.,1.1552706829642434
"A practical, globally optimal algorithm for geometric matching under uncertainty.",1.154197938450507
Monadic Second Order Logic And Its Fragments.,1.148761729870511
The Leader Election Protocol of IEEE 1394 in Maude.,1.1441809661487392
Higher-Order Types and Meta-Programming for Global Computing.,1.144001168197248
Investigating The Algebraic Structure of Dihomotopy Types.,1.1199890638907621
Privacy in Real-Time Systems.,1.1142892616609594
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,1.1067450125198852
Defining Actions in Concurrent Declarative Programming.,1.1031655206066615
"Polynomial Ideals, Gröbner Bases and Constraints.",1.100904373480348
Broadcast Calculus Interpreted in CCS upto Bisimulation.,1.0969387227125769
Deriving Event-Based Document Transformers from Tree-Based Specifications.,1.0954896115507433
Some algebraic laws for spans.,1.0953438707453742
Enforcing policies with private guardians.,1.0926287436650717
A new 3D 12-subiteration thinning algorithm based on P-simple points.,1.0922666112296588
Incompleteness of Behavioral Logics.,1.0846238254911473
A Game Semantics of Idealized CSP.,1.0842986867168443
Abstract interpretation for proving secrecy properties in security protocols.,1.081347376455194
The Theory of Contexts for First Order and Higher Order Abstract Syntax.,1.0726461920245631
Static Analysis for Stack Inspection.,1.0721641474414045
Essentials of Term Graph Rewriting.,1.0664058353444936
Generating Processes from Specifications using the Relation Manipulation System RelView.,1.0655616179597531
Analogy and Formal Languages.,1.0472564333467675
On the Serializability of Transactions in JavaSpaces.,1.0467841074477449
Introduction - Graph Transformation and Visual Modeling Techniques - GT-VMT 2001.,1.0454706823112871
Extending Timed Automata for Compositional Modeling Healthy Timed Systems.,1.0287456624556288
A Model-Theoretic Description of Tree Adjoining Grammars.,1.0267181129348524
Two-dimensional linear algebra.,1.0225899464733545
Abstraction in Graph-Transformation Based Diagram Editors.,1.022354488139196
DynaMICs: Comprehensive Support for Run-Time Monitoring.,1.0204600517602007
Computing Uniform Bounds.,1.0125090617750316
Synchronized Regular Expressions.,1.0098252298760129
On the Decidability of Fragments of the Asynchronous pi-Calculus.,1.0083801953825575
Pattern Guards and Transformational Patterns.,1.0076346216374585
A Selective CPS Transformation.,1.0067404641855326
Petri Nets with Discrete Phase Type Timing: A Bridge Between Stochastic and Functional Analysis.,1.0049235637480323
"Graph Relabelling Systems: a Tool for Encoding, Proving, Studying and Visualizing - Distributed Algorithms.",1.0027254829841012
Modelling Node Connectivity in Dynamically Evolving Networks.,0.9997682110592475
"Chomsky-Schu""tzenberger Type Characterizations of Poly-Slender and Parikh Slender Context-Free Languages.",0.9985335328120121
Web-Based Integrated Timetable Information System for Railways and Airlines.,0.9940827373498814
Heuristics for railway infrastructure saturation.,0.9923633687107692
A Coalgebraic View of Infinite Trees and Iteration.,0.9903025903972147
The dynamics of information exchange dialogues.,0.9867760893831462
Improving the Efficiency of Non-Deterministic Computations.,0.9791251995717863
XT: a bundle of program transformation tools.,0.9744914381247993
Parameterized Transformation Units.,0.9694566695120354
Security Issues in Component-based Design.,0.9688030884772969
Specification and Verification using Message Sequence Charts.,0.9631979045072856
On Logical and Concurrent Equivalences.,0.9625844429461454
Solving Equations by Graph Transformation.,0.9541576304386745
Pseudo-commutative Monads.,0.9495750232989811
Generic representation of self-similarity via structure sensitive sampling of noisy imagery.,0.9370333287360877
The Typed Bohm Theorem.,0.9335437197666792
An Abstract Module Concept for Graph Transformation Systems.,0.9312616013050343
An Action Semantics Integrated Development Environment.,0.9258745735435722
Efficient Algorithms for the Maximum Subarray Problem by Distance Matrix Multiplication.,0.923343810610536
Monitoring Java Programs with Java PathExplorer.,0.9157121946096412
A fast data protection technique for mobile agents against malicious hosts.,0.9146978995848415
Developing a Danish grammar in the GRASP project - A construction-based approach to topology and extraction in Danish.,0.9130086112097652
Approximations for Strategies and Termination.,0.9122099417331847
Towards Lambda Calculus Order-Incompleteness.,0.9108202325935156
Collaborative Development of Interactive Language Processing Tools.,0.9093981601953164
A Call Abstraction for Component Coordination.,0.9091510635058047
Adding Graph Transformation Concepts to UML's Constraint Language OCL.,0.9078769066852181
Typed behavioural equivalences for processes in the presence of subtyping.,0.9062597391783372
Alias verification for Fortran code optimization.,0.9039691611547492
Towards an awareness-based semantics for security protocol analysis.,0.9039415918545124
Computational Effects and Operations: An Overview.,0.9001137739864227
"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra.",0.9000253680062851
A Characterization of Monotonicity with Collective Quantifiers.,0.8998269249978983
Model checking Erlang programs - abstracting the context-free structure.,0.8997566866434011
Introduction - Bohm's theorem: applications to Computer Science Theory - BOTH 2001.,0.8987582714022899
A Performance Study of Distributed Timed Automata Reachability Analysis.,0.8970216300672168
Characterizing Non-Zenoness on Real-Time Processes.,0.8953702085818881
A distributed Intrusion Detection and Response System based on mobile autonomous agents using social insects communication paradigm.,0.8881013066274651
Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.,0.8868349324386346
Simulation Reduction as Constraint.,0.8837201537687824
Non-Uniform Hypercoherences.,0.8811305120304063
On Functional Dependencies in Advanced Data Models.,0.880404911193972
From Varieties of Algebras to Covarieties of Coalgebras.,0.8763739663521983
On the Expressiveness of Movement in Pure Mobile Ambients.,0.8761233521602243
Modal Predicates and Co-equations.,0.8726547409186606
The Computational Complexity of Some Julia Sets.,0.8713544821188236
Rewriting-Based Verification of Authentication Protocols.,0.8704763792644751
"Vague Domains, S-Unification, Logic Programming.",0.8691568437478064
An Integrated Approach for the Specification and Analysis of Stochastic Real-Time Systems.,0.8656767501330318
Specifying and verifying reactive systems in a multi-language environment.,0.8649748023891239
Towards component based systems: refining connectors.,0.8623227633772044
Invariants of monadic coalgebras.,0.8575563768216086
Mobile Code For Key Propagation.,0.8557477655196033
Portable Resource Control in Java: Application to Mobile Agent Security.,0.8555212431915863
Modifying Esterel Concepts to Model Hybrid Systems.,0.8533126101079712
A Complete Model of the Deutsche Bahn - Prosim and Beyond.,0.8505867964844837
Digital straightness.,0.8504183398007351
Exact Acceleration of Real-Time Model Checking.,0.8481827790885905
Barbs and Congruences for Safe Mobile Ambients.,0.8474192551743984
UML-based Tool for Constructing Component Systems via Component Behaviour Inheritance.,0.8466600101600148
Solving the Freight Car Flow Problem to Optimality.,0.8440786728652824
Call-by-need reduction for membership conditional term rewriting Systems.,0.8422392002541763
Coordinating Aspects and Objects.,0.8388726275714647
Grab and Go Systems: a CPO approach to concurrent web and grid-based computation.,0.8328017895027066
Visual Modeling of Distributed Object Systems by Graph Transformation.,0.8303651701304487
SAXO-RT: Interpreting Esterel Semantic on a Sequential Execution Structure.,0.8283364630332293
Lexicalized Syntax and Topology for Non-projective Dependency Grammar.,0.8256191035466095
Lessons from a Bibliography Program's Reimplementation.,0.8244467588821834
Monoid-labeled transition systems.,0.8238829717306193
A Higher-Order Calculus for Graph Transformation.,0.8236824933940877
A Hybrid Encoding of Howe's Method for Establishing Congruence of Bisimilarity.,0.8236415925790427
The Impact of Linearity Information on the Performance of TyCO.,0.8234289894021922
Verification of Asynchronous Circuits using Timed Automata.,0.8204246933820853
The constructive maximal point space.,0.819175385640129
Towards Behavioral Maude: Behavioral Membership Equational Logic.,0.8170615786685619
Regular Sets of Descendants by Leftmost Strategy.,0.8170431222702409
Formal Techniques for Analysing Scenarios using Message Sequence Charts.,0.8118101750932878
An Algebraic Approach to Shadowed Sets.,0.8106156598676103
Interaction Nets with McCarthy's amb.,0.808211405405989
Interfaces: A Game-Theoretic Framework for Reasoning About Component-Based Systems.,0.8066633423156357
"Model Theoretic Syntax, Parsing: An Application to Temporal Logic.",0.8051616517951435
Formal Synthesis of Real-Time Embedded Software by Time-Memory Scheduling of Colored Time Petri Nets.,0.8050615043805128
Order Functional Pure Type Systems.,0.8034787601691938
Towards Secure Mobile Multiagent Based Electronic Marketplace Systems.,0.8010547997312475
From Bohm's Theorem to Observational Equivalences: an Informal Account.,0.7995397880030825
Specifying Graph-like Diagrams with DIAGEN.,0.7981909290142303
Concrete Process Categories.,0.7946176108860317
Coordinated Distributed Diagram Transformation for Software Evolution.,0.7944808511537603
Temporal constraints for concurrent object synchronisation.,0.7929275956452976
Comparing Control Constructs by Double-barrelled {CPS} Transforms.,0.7894851756590853
Combining OCL and Programming Languages for UML Model Processing.,0.7876429544845494
Lattice algorithms for compression color space estimation in JPEG images.,0.7859036569720538
Lazy Logical Semantics.,0.7842870318891917
An elementary algorithm for digital arc segmentation.,0.7839365782818404
A graphical approach to relational reasoning.,0.7820619761293548
"Specifying Services with UML and UML-RT: Foundations, Challenges and Limitations.",0.7819966963565144
Producing Proofs from an Arithmetic Decision Procedure in Elliptical LF.,0.781132220446612
Parametrized quotation and self-reference.,0.781038445864156
Model Checking: A Complexity-Theoretic Perspective (invited talk).,0.779189587126997
A Multi-Adjoint Approach to Similarity-Based Unification.,0.7788525469158475
Comparing Under and Over-Approximations of LTL Properties for Model Checking.,0.7731157533315912
Attacking fair-exchange protocols: parallel models vs trace models.,0.7715409879351629
Ambient Petri nets.,0.7708295781335028
Real Numbers and BDDs.,0.7708275536411788
Modal Operators for Coequations.,0.7604110420334953
CHR: A Constructive Relevant Natural-deduction Logic.,0.7577530532827573
Different directions in parallel and distributed model checking (invited talk).,0.75189900418464
Modeling A Certified Email Protocol using I/O Automata.,0.7510123441002228
Typing the Behavior of Objects and Component Using Session Types.,0.7500522277698718
Modeling Group Communication Protocols Using Multiset Term Rewriting.,0.7486558448383948
Automated Composition of Module Chains.,0.7467478524483677
Building Interpreters with Rewriting Strategies.,0.7459285930923194
Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.,0.7446806965611731
Graph-Based Tools (GraBaTs 2002).,0.7441554346758735
The Relevance of Semantic Subtyping.,0.742095139990848
Three approaches to Partiality in the Sketch Data Model.,0.7413684082634577
Verification of Scenario-based Specifications using Templates.,0.7393784321453337
Classifying and Formally Verifying Integer Constant Folding.,0.7368415248209733
A Programming Language for the Interval Geometric Machine.,0.7357841814732785
"Reflection in Membership Equational Logic, Many-Sorted Equational Logic, Horn Logic with Equality, and Rewriting Logic.",0.7333408707589465
SOL: A Verifiable Synchronous Language for Reactive Systems.,0.7321213474589227
Scalable System-level CTI Testing through Lightweight Coarse-grained Coordination.,0.7289644049059111
"Induction, Coinduction, and Adjoints.",0.7278116484573447
Thoughts on Requirements and Design Issues of User Interfaces for Proof Assistants.,0.725814667666631
Reducing the Overhead of Dynamic Analysis.,0.7253768593741363
A Filter Model for Safe Ambients.,0.7199548422296806
Modeling and Analysis of Non-functional Properties in Component-based Systems.,0.7195869370883439
Strategies for Source-to-Source Constant Progagation.,0.7189473609277445
Performance of low density parity check codes as a function of actual and assumed noise levels.,0.7160130224351344
A Coalgebraic Semantics for Epistemic Programs.,0.7152501215549537
Management of Railroad Impedances for Shortest Path-based Routing.,0.7134732872704544
A Simplified Account of the Metatheory of Linear LF.,0.7100083684543368
On the Complexity of RSRL.,0.7093183272797761
A Resolution-based Model Building Algorithm for a Fragment of OCC1N=.,0.7066977036169083
Non Truth-Functional Many-Valuedness.,0.7047590225686701
A Logical Approach to Security in the Context of Ambient Calculus.,0.7047226728077626
Slicing Event Spaces: Towards a Java Programs Checking Framework.,0.7013880029219441
On automating the extraction of programs from proofs using product types.,0.6980768759051621
Deciding low levels of tree-automata hierarchy.,0.6970449738701311
On the Expressive Power of Temporal Concurrent Constraint Programming Languages (invited talk).,0.6962670381157152
"Iterate, Incrementalize, and Implement: A systematic approach to efficiency improvement and guarantees.",0.6938206447319207
A Case Study in Periodic Timetabling.,0.6933339612133459
The Affine Hull of a Binary Automaton is Computable in Polynomial Time.,0.6912117247585848
"Alias types for ""environment-aware"" computations.",0.6909119316205438
From Comodels to Coalgebras: State and Arrays.,0.6896320241238695
Thematic Schema Building for Mediation-based Peer-to-Peer Architecture.,0.6870420520493149
A Functional Perspective on SSA Optimisation Algorithms.,0.6862016012888844
Describing properties of concurrent systems (Logic for Traces) (invited talk).,0.6833068169197847
OverView: A Framework for Generic Online Visualization of Distributed Systems.,0.6823155856049886
Geometric Aspects of Multiagent Systems.,0.6822240774884447
Syntactic Unification as a Geometric Operation in Free Modules over certain Rings.,0.681740622665643
Programming Satan's Agents.,0.6817119586526014
Interoperability Technology Assessment.,0.6812140197808522
"OCLPrime - Environment and Language for Model Query, Views and Transformations.",0.6799230561054495
Plan in Maude: Specifying an Active Network Programming Language.,0.6792366236474856
A Formal Approach for the Evaluation of Network Security Mechanisms Based on RBAC Policies.,0.6785343093718527
Classes of Timed Automata and the Undecidability of Universality.,0.6779776230089725
Formal Specification and Verification of Complex Systems.,0.6764505611474041
Finding Extremal Models of Discrete Duration Calculus formulae using Symbolic Search.,0.6719696548313945
Modeling and Model Checking Web Services.,0.6709340392466169
Dynamic Event Generation for Runtime Checking using the JDI.,0.6708208637599694
Adjunction Models For Call-By-Push-Value With Stacks.,0.6659334197734039
Maximal Introspection of Agents.,0.6657859069114044
On the Relative Complexity of Labelled Modal Tableaux.,0.6656760983966281
Rational Unification in 28 Characters.,0.6629240745241003
Dominance-based Rough Set Classifier without Induction of Decision Rules.,0.6628741914858225
Modeling Component Connectors in Reo by Constraint Automata: (Extended Abstract).,0.6615450277116804
Data Store Models are Different Than Data Interchange Models.,0.6606349340973027
Predicting Incompatibility of Transformations in Model-driven Development.,0.6590451479539926
XML-based Specification of Diagram Editors.,0.6587390030856701
Case Study: Simulation of a LAN.,0.6571111209521032
Pathway Logic: Executable Models of Biological Networks.,0.6569490301910075
A Coalgebraic Approach to Kleene Algebra with Tests.,0.6562986602231936
A Category Theoretic Formulation for Engeler-style Models of the Untyped lambda.,0.6559062961693133
Some Characterization Results for Permutation Algebras.,0.6558866774216603
Predicate and Relation Lifting for Parametric Algebraic Specifications.,0.6554050357168839
A Formal Composition and Interaction Model for a Web Component Platform.,0.6544206653964975
Explicit substitutions à la de Bruijn: the local and global way.,0.6544078157958841
A categorical approach to unification of generalised terms.,0.6543968342824817
An Optimal Family of Bounded-Degree Broadcast Networks.,0.6537741626373224
On-demand Evaluation by Program Transformation.,0.6513972171802618
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,0.6493423111699483
Preface - SC 2003: Workshop on Software Composition Affiliated with ETAPS 2003.,0.643952077479619
Heuristics for Faster Error Detection With Automated Black Box Testing.,0.6427932132365255
"Monitoring, Checking, and Steering of Real-Time Systems.",0.6425490567275046
Using kinds to type partially-polymorphic methods.,0.6425264104064905
Manipulating Tree Tuple Languages by Transforming Logic Programs.,0.6423296261517938
Logics and Multi-agents: towards a new symbolic model of cognition.,0.6411633043044083
Information Systems Research and Development at CCLRC: Accelerating Innovation through Technology Transfer.,0.6384065172917556
Applying Light-Weight Theorem Proving to Debugging and Verifying Pointer Programs.,0.6379761319403822
Extending The Unified Process With Composition.,0.6368748086464245
On a Description of Terminal Coalgebras and Iterative Theories.,0.6366528361826042
Reachability in Conditional Term Rewriting Systems.,0.6350977863711242
Dealing Denotationally With Stream-based Communication.,0.6320078388646552
Narrowing-based simulation of term rewriting systems with extra variables.,0.6316612195011413
Concepts and Techniques simplifying the Assembly Process for Component Instances.,0.6313142925667993
ESUIF: An Open Esterel Compiler.,0.6274538598729245
Design and Implementation of the L+C Modeling Language.,0.6273872219771129
Debugging and Testing Optimizers through Comparison Checking.,0.627001603556608
Believing the Integrity of a System: (Invited Talk).,0.6267405199671687
Runtime Verification of Timed LTL using Disjunctive Normalized Equation Systems.,0.6267009865237112
Event-Based Real-Time Monitoring.,0.6260975616539112
Preface - F-WAN: Foundations of Wide Area Network Computing.,0.6255312072128832
